Team,Player,ROS,Playing time %,Role,IP_GS
MIL,Brandon Woodruff,166 IP,GS 18%,Starter 2,5.7
MIL,Eric Lauer,151 IP,GS 17%,Starter 3,5.5
MIL,Freddy Peralta,112 IP,GS 15%,Starter 4,4.6
MIL,Wade Miley,124 IP,GS 16%,Starter 5,4.8
MIL,Adrian Houser,85 IP,GS 7% RP 5%,"Starter, Long",4.9
MIL,Aaron Ashby,51 IP,GS 5% RP 2%,"Starter, Long",4.8
MIL,Ethan Small,25 IP,GS 2% RP 2%,"Starter, Middle",4
MIL,Jason Alexander,40 IP,GS 2% RP 4%,"Starter, Long",5.1
MIL,Devin Williams,65 IP,RP 11% SV 80%,Closer,0
MIL,Matt Bush,53 IP,RP 9% SV 10%,Setup,0
MIL,Hoby Milner,53 IP,RP 9% SV 10%,Setup,0
MIL,Gus Varland,12 IP,RP 2%,Mop Up,0
MIL,Peter Strzelecki,47 IP,RP 8%,Middle,0
MIL,Jake Cousins,41 IP,RP 7%,Middle,0
MIL,Elvis Peguero,41 IP,RP 7%,Middle,0
MIL,Joel Payamps,35 IP,RP 6%,Middle,0
MIL,Javy Guerra,35 IP,RP 6%,Middle,0
MIL,Janson Junk,35 IP,RP 6%,Middle,0
MIL,Cam Robinson,23 IP,RP 4%,Middle,0
MIL,Tyson Miller,18 IP,RP 3%,Middle,0
MIL,Jean Carlos Mejia,18 IP,RP 3%,Middle,0
MIL,Bryse Wilson,35 IP,RP 6%,Long,0
MIN,Sonny Gray,135 IP,GS 16%,Starter 1,5.2
MIN,Pablo Lopez,151 IP,GS 17%,Starter 2,5.5
MIN,Joe Ryan,149 IP,GS 17%,Starter 3,5.4
MIN,Tyler Mahle,126 IP,GS 15%,Starter 4,5.2
MIN,Kenta Maeda,107 IP,GS 13%,Starter 5,5.1
MIN,Bailey Ober,50 IP,GS 6%,Starter,5.1
MIN,Louie Varland,44 IP,GS 4% RP 2%,"Starter, Long",4.9
MIN,Chris Paddack,23 IP,GS 3%,Starter,4.8
MIN,Simeon Woods Richardson,23 IP,GS 3%,Starter,4.7
MIN,Cole Sands,37 IP,GS 2% RP 4%,"Starter, Long",4
MIN,Josh Winder,34 IP,GS 2% RP 3%,"Starter, Long",4.9
MIN,Ronny Henriquez,32 IP,GS 2% RP 3%,"Starter, Long",4.3
MIN,Jorge Lopez,60 IP,RP 10% SV 75%,Closer,0
MIN,Jhoan Duran,60 IP,RP 10% SV 15%,Setup,0
MIN,Griffin Jax,60 IP,RP 10% SV 5%,Setup,0
MIN,Emilio Pagan,60 IP,RP 10% SV 5%,Middle,0
MIN,Trevor Megill,60 IP,RP 10%,Middle,0
MIN,Jorge Alcala,60 IP,RP 10%,Middle,0
MIN,Caleb Thielbar,60 IP,RP 10%,Middle,0
MIN,Jovani Moran,60 IP,RP 10%,Middle,0
MIN,Jordan Balazovic,12 IP,RP 2%,Middle,0
MIN,Randy Dobnak,24 IP,RP 4%,Long,0
MIN,Brent Headrick,12 IP,RP 2%,Long,0
NYY,Gerrit Cole,188 IP,GS 19%,Starter 1,6.1
NYY,Carlos Rodon,136 IP,GS 15%,Starter 2,5.6
NYY,Nestor Cortes Jr.,157 IP,GS 17%,Starter 3,5.7
NYY,Luis Severino,125 IP,GS 14%,Starter 4,5.5
NYY,Domingo German,113 IP,GS 14%,Starter 5,5
NYY,Clarke Schmidt,91 IP,GS 9% RP 5%,"Starter, Middle",4.3
NYY,Frankie Montas,32 IP,GS 4%,Starter,5
NYY,Jhony Brito,39 IP,GS 4% RP 2%,"Starter, Long",4.2
NYY,Randy Vasquez,13 IP,GS 2%,Starter,4.1
NYY,Deivi Garcia,36 IP,GS 2% RP 4%,"Starter, Long",4
NYY,Clay Holmes,63 IP,RP 11% SV 70%,Closer,0
NYY,Jonathan Loaisiga,57 IP,RP 10% SV 20%,Setup,0
NYY,Wandy Peralta,57 IP,RP 10% SV 10%,Setup,0
NYY,Michael King,57 IP,RP 10%,Middle,0
NYY,Ron Marinaccio,52 IP,RP 9%,Middle,0
NYY,Jimmy Cordero,40 IP,RP 7%,Middle,0
NYY,Tommy Kahnle,40 IP,RP 7%,Middle,0
NYY,Albert Abreu,40 IP,RP 7%,Middle,0
NYY,Greg Weissert,40 IP,RP 7%,Middle,0
NYY,Lou Trivino,34 IP,RP 6%,Middle,0
NYY,Matt Krook,29 IP,RP 5%,Middle,4
NYM,Justin Verlander,171 IP,GS 17%,Starter 1,6.2
NYM,Max Scherzer,171 IP,GS 17%,Starter 2,6.2
NYM,Kodai Senga,132 IP,GS 16%,Starter 3,5.1
NYM,Carlos Carrasco,126 IP,GS 15%,Starter 4,5.2
NYM,David Peterson,110 IP,GS 12% RP 3%,"Starter 5, Long",4.8
NYM,Jose Quintana,66 IP,GS 8%,Starter,5.1
